accessed datetime,closed datetime,year,month name,month,day,weekday number,weekday,hour,Hour (for bin use),Hour bins,website,duration,PHQ9 score,PHQ9 matches,GAD7 score,GAD7 matches,CAGE-AID score,CAGE-AID matches,SDOH score,SDOH matches,domain
2025-04-23T23:35:44.6910000,2025-04-23T23:40:44.6910000,2025,April,4,Wednesday,3,Yes,23,23.35,After 6PM,https://codesandbox.io/p/sandbox/jhg2z2?file=%2Findex.html%3A12%2C8-13%2C18,0 days 00:05:00,0,null,0,null,0,null,0,null,codesandbox.io
2025-04-23T23:36:32.5330000,2025-04-23T23:41:32.5330000,2025,April,4,Wednesday,3,Yes,23,23.36,After 6PM,https://fim.temple.edu/idp/profile/SAML2/Redirect/SSO?SAMLRequest=fVJbT8IwFH73Vyx937obCA2QIMRIgkLY9MEXU7ozaNK1sxcv%2F95uaMQHeT093%2FV0YmgjWjJ39ih38OrA2OCjEdKQ%2FmGKnJZEUcMNkbQBQywjxfx%2BTdIoJq1WVjEl0BnkMoIaA9pyJVGwWk7RSzyuMno9yMMqTuMw38ejcD8cjcNklGQ5sGHOAFDwBNp4zBR5Cg80xsFKGkul9aM4HYRxHqZZmWYkG5IseUbB0ufgktoedbS2NQTjmjeRhaYVEEHlMK9a7BPUXADuDKZ4BxXXwCwuig0K5j9eF0oa14AuQL9xBo%2B79S%2Fnic9F3PvRjlmnIWKqwUIduMRdISjYftd0w2XF5eFyQ%2FvTkiF3ZbkNt5uiRLNJx0P63HrWKV8Q7lbTCT5HTE43fvBaq%2BVWCc4%2Bg1ulG2r%2Ft5JEST%2FhVVj3q8RJ0wLjNYfKdyOEel9ooBamyOsDwrOT6N%2B%2FNLv6Ag%3D%3D,0 days 00:05:00,0,null,0,null,0,null,0,null,fim.temple.edu
2025-04-23T23:36:52.4780000,2025-04-23T23:41:52.4780000,2025,April,4,Wednesday,3,Yes,23,23.36,After 6PM,https://fim.temple.edu/idp/profile/SAML2/Redirect/SSO?SAMLRequest=fVJbT4MwFH73V5C%2BQxkMkjWMZG4xLpm6jOmDL6Yrh61JabEXL%2F%2FeAhrng3s9Pd%2F1tDC0FR1ZOHuSO3h1YGzw0QppyPAwR05LoqjhhkjagiGWkWpxtyFJFJNOK6uYEugMchlBjQFtuZIoWK%2Fm6OVAadzk7BBCnmfhdEKzcJZls5DmcZbW02ZKU0DBE2jjMXPkKTzQGAdraSyV1o%2FiJAvjaZik%2ByQlaU6yyTMKVj4Hl9QOqJO1nSEYN7yNLLSdgAhqh3ndYZ%2Bg4QJwbzDBO6i5BmZxVT2gYPHjdamkcS3oCvQbZ%2FC42%2Fxyjnwu4t6Pdsw6DRFTLRbqyCXuC0HB9rumay5rLo%2BXGzqMS4bc7vfbcPtQ7VFZ9DxkyK3LXvmCcL%2BaFPgcUYw3vvda69VWCc4%2BgxulW2r%2FtzKJJsOE12EzrBInTQeMNxxq340Q6n2pgVqYI68PCJej6N%2B%2FVF59AQ%3D%3D,0 days 00:05:00,0,null,0,null,0,null,0,null,fim.temple.edu
2025-04-23T23:36:52.4780000,2025-04-23T23:36:52.4780000,2025,April,4,Wednesday,3,Yes,23,23.36,After 6PM,https://fim.temple.edu/idp/profile/SAML2/Redirect/SSO?execution=e3s1,0 days 00:00:00,0,null,0,null,0,null,0,null,fim.temple.edu
2025-04-23T23:36:52.4780000,2025-04-23T23:41:52.4780000,2025,April,4,Wednesday,3,Yes,23,23.36,After 6PM,https://fim.temple.edu/idp/profile/SAML2/Redirect/SSO?execution=e3s1,0 days 00:05:00,0,null,0,null,0,null,0,null,fim.temple.edu
2025-04-23T23:37:05.3310000,2025-04-23T23:37:05.3310000,2025,April,4,Wednesday,3,Yes,23,23.37,After 6PM,https://api-b2781b65.duosecurity.com/frame/frameless/v4/auth?sid=frameless-3c3116d3-b930-4880-8cdf-7393c994b266&tx=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJkdW9fdW5hbWUiOiJ0dWYyODQ5MyIsInNjb3BlIjoib3BlbmlkIiwicmVzcG9uc2VfdHlwZSI6ImNvZGUiLCJyZWRpcmVjdF91cmkiOiJodHRwczovL2ZpbS50ZW1wbGUuZWR1L2lkcC9wcm9maWxlL0F1dGhuL0R1by8yRkEvZHVvLWNhbGxiYWNrIiwic3RhdGUiOiJmNTk3OWE2Nzg0NjBjNjdiZWFiZTg2OWVkYzU4NTI5ZC42NTMzNzMzMiIsImV4cCI6MTc0NTQ1NTAyMiwiY2xpZW50X2lkIjoiRElaVDFPRk5FQkFOWjRBWTZSQTUifQ.cJXXd3vN4YsGq7-nc-3WHNd3Os_j_JqnWz2_7YaTPH_mbjRBTZYEAy7IVR4XCZ2EdKJ07rL7CcXkncUS1Y2jUg&req-trace-group=8e6a6bc609c5fc08f7b93b11,0 days 00:00:00,0,null,0,null,0,null,0,null,api-b2781b65.duosecurity.com
2025-04-23T23:37:05.3310000,2025-04-23T23:42:05.3310000,2025,April,4,Wednesday,3,Yes,23,23.37,After 6PM,https://api-b2781b65.duosecurity.com/frame/frameless/v4/auth?sid=frameless-3c3116d3-b930-4880-8cdf-7393c994b266&tx=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJkdW9fdW5hbWUiOiJ0dWYyODQ5MyIsInNjb3BlIjoib3BlbmlkIiwicmVzcG9uc2VfdHlwZSI6ImNvZGUiLCJyZWRpcmVjdF91cmkiOiJodHRwczovL2ZpbS50ZW1wbGUuZWR1L2lkcC9wcm9maWxlL0F1dGhuL0R1by8yRkEvZHVvLWNhbGxiYWNrIiwic3RhdGUiOiJmNTk3OWE2Nzg0NjBjNjdiZWFiZTg2OWVkYzU4NTI5ZC42NTMzNzMzMiIsImV4cCI6MTc0NTQ1NTAyMiwiY2xpZW50X2lkIjoiRElaVDFPRk5FQkFOWjRBWTZSQTUifQ.cJXXd3vN4YsGq7-nc-3WHNd3Os_j_JqnWz2_7YaTPH_mbjRBTZYEAy7IVR4XCZ2EdKJ07rL7CcXkncUS1Y2jUg&req-trace-group=8e6a6bc609c5fc08f7b93b11,0 days 00:05:00,0,null,0,null,0,null,0,null,api-b2781b65.duosecurity.com
2025-04-23T23:37:05.3310000,2025-04-23T23:42:05.3310000,2025,April,4,Wednesday,3,Yes,23,23.37,After 6PM,https://api-b2781b65.duosecurity.com/oauth/v1/authorize?scope=openid&nonce=59fc4d095b12188188ca56a1bca344b8eaf3&response_type=code&redirect_uri=https%3A%2F%2Ffim.temple.edu%2Fidp%2Fprofile%2FAuthn%2FDuo%2F2FA%2Fduo-callback&client_id=DIZT1OFNEBANZ4AY6RA5&request=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzUxMiJ9.eyJkdW9fdW5hbWUiOiJ0dWYyODQ5MyIsInNjb3BlIjoib3BlbmlkIiwicmVzcG9uc2VfdHlwZSI6ImNvZGUiLCJyZWRpcmVjdF91cmkiOiJodHRwczovL2ZpbS50ZW1wbGUuZWR1L2lkcC9wcm9maWxlL0F1dGhuL0R1by8yRkEvZHVvLWNhbGxiYWNrIiwic3RhdGUiOiJmNTk3OWE2Nzg0NjBjNjdiZWFiZTg2OWVkYzU4NTI5ZC42NTMzNzMzMiIsImV4cCI6MTc0NTQ1NTAyMiwiY2xpZW50X2lkIjoiRElaVDFPRk5FQkFOWjRBWTZSQTUifQ.cJXXd3vN4YsGq7-nc-3WHNd3Os_j_JqnWz2_7YaTPH_mbjRBTZYEAy7IVR4XCZ2EdKJ07rL7CcXkncUS1Y2jUg,0 days 00:05:00,0,null,0,null,0,null,0,null,api-b2781b65.duosecurity.com
2025-04-23T23:37:05.3310000,2025-04-23T23:42:05.3310000,2025,April,4,Wednesday,3,Yes,23,23.37,After 6PM,https://fim.temple.edu/idp/profile/Authn/Duo/2FA/authorize?conversation=e3s2,0 days 00:05:00,0,null,0,null,0,null,0,null,fim.temple.edu
2025-04-23T23:37:05.3310000,2025-04-23T23:42:05.3310000,2025,April,4,Wednesday,3,Yes,23,23.37,After 6PM,https://fim.temple.edu/idp/profile/SAML2/Redirect/SSO?execution=e3s2,0 days 00:05:00,0,null,0,null,0,null,0,null,fim.temple.edu
