website,accessed datetime,closed datetime,duration,PHQ9 score,GAD7 score,CAGE-AID score,SDOH score,domain,hour,day,weekday,month,year
https://accounts.google.com/v3/signin/challenge/dp?TL=AO-GBTcJon0sFjgZY_yrIyxk3PJkxjlZ0SkUtCesm2J5YTUHG2C4PodEZTGY0w6w&checkConnection=youtube%3A821&checkedDomains=youtube&cid=8&continue=https%3A%2F%2Fcolab.research.google.com%2F&ddm=1&dsh=S-1640956564%3A1738678209464900&ec=GAZAqQM&flowEntry=ServiceLogin&flowName=GlifWebSignIn&ifkv=AVdkyDn84sPl46dTZpC7G0Jd1sWqMkQ1iJgmOfbz0TBmdMhQ1RRQkRuV1aN3oaVuDZUNyINbl2dvBg&pstMsg=1,10:29.0,15:29.0,0 days 00:05:00,0,0,0,0,accounts.google.com,14,Tuesday,TRUE,2,2025
https://accounts.youtube.com/accounts/SetSID?ssdc=1&sidt=ALWU2cv7cxevJmTNQl4IirjAZszBsJxPlwMoqKU94irwfCHrRqb2FS3lC7qG%2BixDrbcjCooUQ4vEiTWDZ76O9Z61BqektELo0d%2Fwoaw0p9CV0%2B%2F7XZBNGcs1JceaZarvIeIsqxccFXxoBR%2B%2FUmgOIKc9YPMIVFf5AfMhNMXju%2FiyfH1GPh8oXVo9pxxnDGJPU%2BI%2B4lSDiYgvgYa9k9IYcgIDwoIBO2erYavFzmF4Nnepm5pihTXDGOcMOQl7Fz%2F36fEYFKfrq1QsaubgM2T0EEdHASasrN0hw52W8nUQvqi4avYtOPmkqm7xGrmysqEdKoADQjKMv9b3mJmIZ64k2rUpAnVj67WAX7zKlcBUZTp3eZaK1q8pqo9EM23RtvN6Apfoy8RKONcgg2t7DkNbzRjjareOdcUBRdl40OIwpRkdMkfYbVYF1P1AqWicAeD87ilOzV%2BXP6iVgrW9t4KkpvXg2ewpX55FYWk1L03%2FelIv%2BCPm9Ssc5jh5iUIS5W0LLS8nCfgp9C4tnPJSURmSQbVUEIKFfSOpsxch4at5eEWhkATFgRwNLZbLYEv1pRKhbzVUw9gJ3SJDu4lDxz0p%2FqOIugiJ0dMXTgdzPVT1fCl%2Bosz5VSPppz8uJ0qTInrLYseAfR9RBxrvKVk3LYGS1FzJ1TABgg8Js%2BqiHwZapctz%2Fxcsmn%2BoOdHiT%2FZC%2BKITp%2BrYrIqt6wf9F8E33HAGT24Vaz0gfPRSB4tGG9oso9mvNtZ0irU2yKxCZ%2BQITGII%2BSuo2fzDNugp&continue=https%3A%2F%2Fcolab.research.google.com%2F&tcc=1,10:48.6,15:48.6,0 days 00:05:00,0,0,0,0,accounts.youtube.com,14,Tuesday,TRUE,2,2025
https://accounts.google.com/CheckCookie?continue=https://colab.research.google.com/&checkedDomains=youtube&checkConnection=youtube:821&pstMsg=1&flowName=GlifWebSignIn&ifkv=AVdkyDn84sPl46dTZpC7G0Jd1sWqMkQ1iJgmOfbz0TBmdMhQ1RRQkRuV1aN3oaVuDZUNyINbl2dvBg&chtml=LoginDoneHtml&gidl=EgIIAA,10:48.6,15:48.6,0 days 00:05:00,0,0,0,0,accounts.google.com,14,Tuesday,TRUE,2,2025
https://docs.google.com/spreadsheets/d/1Mh7k1z9swZDC05Q_tGduhzc_letLXZzd8YCf1GBNVto/edit?pli=1&gid=0#gid=0,11:09.4,16:09.4,0 days 00:05:00,0,0,0,0,docs.google.com,14,Tuesday,TRUE,2,2025
https://docs.google.com/spreadsheets/d/136GjJ8zfmY1_R2OO9I7RiDR-VHBnulKJ5NwL2QXHv7o/edit?pli=1&gid=0#gid=0,11:12.4,16:12.4,0 days 00:05:00,0,0,0,0,docs.google.com,14,Tuesday,TRUE,2,2025
https://colab.research.google.com/drive/17QMiGQ89OAcAqmXLai4uuEJ7u8Jk-vUp#scrollTo=IMweh4QATiJQ,12:26.4,17:26.4,0 days 00:05:00,0,0,0,0,colab.research.google.com,14,Tuesday,TRUE,2,2025
https://colab.research.google.com/drive/17QMiGQ89OAcAqmXLai4uuEJ7u8Jk-vUp#scrollTo=VXjktNdxBHCu,26:38.7,31:38.7,0 days 00:05:00,0,0,0,0,colab.research.google.com,14,Tuesday,TRUE,2,2025
https://colab.research.google.com/drive/17QMiGQ89OAcAqmXLai4uuEJ7u8Jk-vUp#scrollTo=uZFsdpuixFNy,30:00.0,35:00.0,0 days 00:05:00,0,0,0,0,colab.research.google.com,14,Tuesday,TRUE,2,2025
https://colab.research.google.com/drive/17QMiGQ89OAcAqmXLai4uuEJ7u8Jk-vUp#scrollTo=VKeCIEvOrIsb,32:22.9,37:22.9,0 days 00:05:00,0,0,0,0,colab.research.google.com,14,Tuesday,TRUE,2,2025
https://colab.research.google.com/drive/17QMiGQ89OAcAqmXLai4uuEJ7u8Jk-vUp#scrollTo=bdqeMODCrQhz,32:23.9,37:23.9,0 days 00:05:00,0,0,0,0,colab.research.google.com,14,Tuesday,TRUE,2,2025
